"시도별(1)","성별 및 연령별(1)",성별 및 연령별(2),2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
"시도별(1)","성별 및 연령별(1)",성별 및 연령별(2),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%)
"대구","전체",소계,1200,4.3,1228,4.2,1274,4.2,1302,4.2,1325,4.4,1299,4.4,1335,4.4,1294,4.2
"대구","성별",남자,757,63.1,809,65.9,818,64.2,815,62.6,836,63.1,808,62.2,859,64.3,811,62.7
"대구","성별",여자,440,36.7,418,34.0,456,35.8,485,37.3,487,36.8,491,37.8,476,35.7,483,37.3
"대구","성별",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대구","나이",0~9세,32,2.7,16,1.3,22,1.7,24,1.8,27,2.0,17,1.3,-,-,12,0.9
"대구","나이",10~19세,14,1.2,16,1.3,11,0.9,20,1.5,22,1.7,21,1.6,17,1.3,16,1.2
"대구","나이",20~29세,30,2.5,33,2.7,26,2.0,32,2.5,39,2.9,27,2.1,29,2.2,40,3.1
"대구","나이",30~39세,53,4.4,44,3.6,52,4.1,57,4.4,59,4.5,51,3.9,51,3.8,53,4.1
"대구","나이",40~49세,112,9.3,131,10.7,120,9.4,113,8.7,110,8.3,110,8.5,93,7.0,90,7.0
"대구","나이",50~59세,187,15.6,212,17.3,215,16.9,187,14.4,219,16.5,186,14.3,198,14.8,188,14.5
"대구","나이",60~69세,193,16.1,199,16.2,195,15.3,219,16.8,238,18.0,242,18.6,247,18.5,223,17.2
"대구","나이",70~79세,299,24.9,297,24.2,325,25.5,332,25.5,313,23.6,291,22.4,326,24.4,329,25.4
"대구","나이",80세 이상,279,23.3,279,22.7,308,24.2,318,24.4,298,22.5,354,27.3,367,27.5,342,26.4
"대구","나이",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인천","전체",소계,1427,5.1,1588,5.4,1604,5.3,1671,5.4,1551,5.2,1500,5.1,1567,5.1,1548,5.0
"인천","성별",남자,889,62.3,980,61.7,980,61.1,1074,64.3,992,64.0,966,64.4,1022,65.2,1004,64.9
"인천","성별",여자,535,37.5,606,38.2,623,38.8,596,35.7,559,36.0,534,35.6,544,34.7,544,35.1
"인천","성별",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인천","나이",0~9세,34,2.4,29,1.8,21,1.3,21,1.3,22,1.4,22,1.5,21,1.3,30,1.9
"인천","나이",10~19세,17,1.2,17,1.1,15,0.9,22,1.3,18,1.2,14,0.9,19,1.2,17,1.1
"인천","나이",20~29세,42,2.9,58,3.7,50,3.1,46,2.8,44,2.8,34,2.3,52,3.3,36,2.3
"인천","나이",30~39세,78,5.5,83,5.2,99,6.2,75,4.5,72,4.6,60,4.0,78,5.0,78,5.0
"인천","나이",40~49세,166,11.6,164,10.3,161,10.0,173,10.4,164,10.6,134,8.9,138,8.8,134,8.7
"인천","나이",50~59세,250,17.5,271,17.1,270,16.8,332,19.9,283,18.2,232,15.5,253,16.1,254,16.4
"인천","나이",60~69세,190,13.3,246,15.5,243,15.1,237,14.2,246,15.9,264,17.6,258,16.5,258,16.7
"인천","나이",70~79세,343,24.0,340,21.4,367,22.9,349,20.9,343,22.1,363,24.2,353,22.5,322,20.8
"인천","나이",80세 이상,303,21.2,378,23.8,376,23.4,416,24.9,359,23.1,377,25.1,395,25.2,419,27.1
"인천","나이",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
